user_id,K,K_limit,reward,handover_count,success
0,K0,8,1232.2882330445532,8,True
1,K0,9,1451.599105811259,9,True
2,K0,10,1876.1425093555447,10,True
3,K0,7,767.5631120337744,6,True
4,K0,8,1207.2750369407097,8,True
5,K0,12,2473.534291869798,12,True
6,K0,10,1842.4647642924067,10,True
7,K0,8,1091.314053781584,8,True
8,K0,9,1626.5386219657535,9,True
9,K0,9,1615.341918152082,9,True
10,K0,9,1509.1357390061535,9,True
11,K0,11,2116.9166968232676,11,True
12,K0,9,1494.8940042465545,9,True
13,K0,8,1070.9413015016614,8,True
14,K0,10,1790.393720240276,10,True
15,K0,8,1263.0423912777844,8,True
16,K0,8,1258.1066967551328,8,True
17,K0,7,846.4114640914934,7,True
18,K0,12,2478.160654631108,12,True
19,K0,8,1248.6867805536149,8,True
20,K0,6,620.6377661359296,5,True
21,K0,10,1667.1242233939308,10,True
22,K0,7,939.7331285032398,7,True
23,K0,7,937.2373879560927,7,True
24,K0,7,720.3275848289479,6,True
25,K0,13,2687.2535854992884,13,True
26,K0,13,2554.8406330179714,13,True
27,K0,10,1836.3879651413934,10,True
28,K0,12,2333.5656360371754,12,True
29,K0,10,1729.7271269690727,10,True
30,K0,13,2531.7106509949754,13,True
31,K0,7,711.5726495061438,6,True
32,K0,13,2523.5025426327798,13,True
33,K0,12,2211.837394301124,12,True
34,K0,7,708.1988566905699,6,True
35,K0,9,1311.2432167387713,9,True
36,K0,9,1306.0941038619658,9,True
37,K0,10,1704.447182041961,10,True
38,K0,11,2089.0067665765837,11,True
39,K0,6,597.3691372957392,5,True
40,K0,12,2383.0538915081625,12,True
41,K0,13,2487.8741562456394,13,True
42,K0,10,1689.3086874784688,10,True
43,K0,9,1491.845284158229,9,True
44,K0,9,1487.3678677473376,9,True
45,K0,9,1485.0712925328494,9,True
46,K0,9,1388.7780737073526,9,True
47,K0,10,1586.3403776857876,10,True
48,K0,10,1770.7507472009333,10,True
49,K0,7,798.4301166849733,7,True
50,K0,8,1180.776576570198,8,True
51,K0,11,2052.545097348078,11,True
52,K0,13,2455.068414487169,13,True
53,K0,11,1957.8316069324653,11,True
54,K0,10,1570.9416088061357,10,True
55,K0,12,2241.5647310967233,12,True
56,K0,8,1171.442834400723,8,True
57,K0,7,682.9201092482054,6,True
58,K0,9,1264.2965298268184,9,True
59,K0,12,2232.0611802376343,12,True
60,K0,11,2185.078768241885,11,True
61,K0,11,2053.446644208597,11,True
62,K0,12,2581.8163319003634,12,True
63,K0,9,1594.1862139454374,9,True
64,K0,9,1486.2385100071072,9,True
65,K0,10,1791.0528050360294,10,True
66,K0,8,1266.9896442842987,8,True
67,K0,10,1776.8797679094603,10,True
68,K0,6,635.8229444780093,4,True
69,K0,7,735.6150458397265,5,True
70,K0,7,730.9032776896747,5,True
71,K0,12,2404.4617336940755,12,True
72,K0,11,2172.710057069011,11,True
73,K0,13,2695.0282318318937,13,True
74,K0,10,1632.244871204297,10,True
75,K0,11,2148.7245542878763,11,True
76,K0,9,1323.385782066436,9,True
77,K0,11,1933.079488201437,11,True
78,K0,6,609.6430332367764,5,True
79,K0,10,1605.5550018201288,10,True
80,K0,10,1702.0157622614545,10,True
81,K0,10,1696.9223395011581,10,True
82,K0,11,2105.543567342191,11,True
83,K0,9,1300.019522478557,9,True
84,K0,6,602.0055073370851,5,True
85,K0,11,2002.1716559653548,11,True
86,K0,12,2205.3467854262663,12,True
87,K0,9,1471.5347558835294,9,True
88,K0,6,595.754863723322,5,True
89,K0,7,786.3704966839414,7,True
90,K0,7,880.2270592574939,7,True
91,K0,12,2192.3583480826915,12,True
92,K0,13,2596.8014382076894,13,True
93,K0,11,2062.454927118705,11,True
94,K0,11,1866.7262405165288,11,True
95,K0,8,1165.908369500262,8,True
96,K0,13,2576.4900044685523,13,True
97,K0,8,1064.959678823686,8,True
98,K0,7,677.7627652291842,6,True
99,K0,10,1742.2312814726072,10,True
100,K0,13,2559.4511856684353,13,True
101,K0,13,2550.290804226434,13,True
102,K0,9,1431.6048241675778,9,True
103,K0,9,1341.2424590685723,9,True
104,K0,9,1336.9982677821188,9,True
105,K0,9,1334.1900402209012,9,True
106,K0,7,853.1112020815574,7,True
107,K0,8,1043.5506728088337,8,True
108,K0,7,755.0632266978662,7,True
109,K0,6,566.4479990254395,5,True
110,K0,13,2531.2457995791383,13,True
111,K0,8,1132.6278268830379,8,True
112,K0,7,656.8909110480671,6,True
113,K0,13,2521.815403432353,13,True
114,K0,9,1402.6534447351703,9,True
115,K0,10,1697.3064290811174,10,True
116,K0,6,558.9874592813757,5,True
117,K0,13,2505.0738260795347,13,True
118,K0,7,740.236420870076,7,True
119,K0,7,647.4787572176242,6,True
120,K0,12,2487.570619131184,12,True
121,K0,11,2169.0476745158776,11,True
122,K0,7,699.7627183738759,6,True
123,K0,7,696.3808125745727,6,True
124,K0,11,2150.805800383767,11,True
125,K0,10,1833.7603999010594,10,True
126,K0,13,2654.8471127538787,13,True
127,K0,11,2024.5583368777536,11,True
128,K0,10,1708.2243765952387,10,True
129,K0,12,2421.198837393833,12,True
130,K0,10,1698.2182316320932,10,True
131,K0,11,1906.1068662998919,11,True
132,K0,12,2216.8531549136123,12,True
133,K0,11,1893.0817549493456,11,True
134,K0,9,1285.7191789169508,9,True
135,K0,8,1174.2707564729246,8,True
136,K0,8,1073.8861235356305,8,True
137,K0,12,2194.590837508866,12,True
138,K0,7,781.8640668921458,7,True
139,K0,7,779.3606837446472,7,True
140,K0,12,2288.241688644962,12,True
141,K0,13,2581.1552893461776,13,True
142,K0,13,2575.4333788998033,13,True
143,K0,11,2058.0539956395837,11,True
144,K0,7,774.9905042487468,7,True
145,K0,7,771.5297693863203,7,True
146,K0,8,1053.778446902735,8,True
147,K0,8,1150.9483647027394,8,True
148,K0,9,1254.0611345884045,9,True
149,K0,10,1749.1458172546108,10,True
150,K0,10,1744.129935980177,10,True
151,K0,11,2037.155083318175,11,True
152,K0,7,662.9016060547397,6,True
153,K0,11,1932.5574969331033,11,True
154,K0,8,949.7264978798386,8,True
155,K0,7,848.677769403863,7,True
156,K0,7,656.4754191617114,6,True
157,K0,12,2330.480276815941,12,True
158,K0,8,1131.2639543269547,8,True
159,K0,11,1919.7792371892135,11,True
160,K0,11,1913.5684893385544,11,True
161,K0,9,1229.868428697837,9,True
162,K0,13,2417.4202505129897,13,True
163,K0,8,1119.8224305477477,8,True
164,K0,13,2411.1284062028512,13,True
165,K0,12,2295.872537621925,12,True
166,K0,12,2197.7986783575034,12,True
167,K0,8,1111.96214896713,8,True
168,K0,7,746.988380816482,7,True
169,K0,12,2189.1389837682323,12,True
170,K0,9,1402.5255606062024,9,True
171,K0,9,1210.5492245261603,9,True
172,K0,12,2271.2190686806625,12,True
173,K0,8,923.2486196093204,8,True
174,K0,11,1971.367787750129,11,True
175,K0,7,640.2347004792375,6,True
176,K0,6,551.1142164028282,5,True
177,K0,12,2076.4077662033974,12,True
178,K0,12,2166.6159538094334,12,True
179,K0,7,818.6606349647918,7,True
180,K0,10,1678.9371663160387,10,True
181,K0,10,1746.8248917023025,10,True
182,K0,8,1066.6587690769143,8,True
183,K0,11,1989.7985458292978,11,True
184,K0,7,729.5641179718027,6,True
185,K0,8,1248.9091951019727,8,True
186,K0,13,2484.17773419491,13,True
187,K0,13,2470.678602305262,13,True
188,K0,13,2383.731746765362,13,True
