user_id,K,K_limit,reward,handover_count,success
0,K0,8,1160.2371933553657,7,True
1,K0,9,1373.093944255723,9,True
2,K0,10,,14,False
3,K0,7,716.1581914162971,6,True
4,K0,8,,10,False
5,K0,12,,20,False
6,K0,10,,15,False
7,K0,8,,9,False
8,K0,9,,13,False
9,K0,9,,13,False
10,K0,9,,12,False
11,K0,11,,18,False
12,K0,9,,13,False
13,K0,8,,9,False
14,K0,10,,16,False
15,K0,8,,11,False
16,K0,8,,11,False
17,K0,7,803.1120350383144,7,True
18,K0,12,,23,False
19,K0,8,,11,False
20,K0,6,593.265799696846,5,True
21,K0,10,,15,False
22,K0,7,,8,False
23,K0,7,,8,False
24,K0,7,672.955877886624,6,True
25,K0,13,,25,False
26,K0,13,,24,False
27,K0,10,,17,False
28,K0,12,,22,False
29,K0,10,,16,False
30,K0,13,,24,False
31,K0,7,678.959550808199,6,True
32,K0,13,,24,False
33,K0,12,,21,False
34,K0,7,671.994931439509,6,True
35,K0,9,,12,False
36,K0,9,,12,False
37,K0,10,,16,False
38,K0,11,,20,False
39,K0,6,559.9970981121625,5,True
40,K0,12,,23,False
41,K0,13,,24,False
42,K0,10,,16,False
43,K0,9,,14,False
44,K0,9,,14,False
45,K0,9,,14,False
46,K0,9,,13,False
47,K0,10,,15,False
48,K0,10,,17,False
49,K0,7,741.8018905358671,7,True
50,K0,8,,11,False
51,K0,11,,20,False
52,K0,13,,24,False
53,K0,11,,19,False
54,K0,10,,15,False
55,K0,12,,22,False
56,K0,8,,11,False
57,K0,7,635.205646178416,6,True
58,K0,9,,12,False
59,K0,12,,22,False
60,K0,11,,14,False
61,K0,11,,14,False
62,K0,12,,19,False
63,K0,9,,14,False
64,K0,9,,13,False
65,K0,10,,16,False
66,K0,8,,11,False
67,K0,10,,16,False
68,K0,6,581.7089656083904,5,True
69,K0,7,693.2039150260002,6,True
70,K0,7,676.522742458878,6,True
71,K0,12,,21,False
72,K0,11,,20,False
73,K0,13,,23,False
74,K0,10,,15,False
75,K0,11,,20,False
76,K0,9,,12,False
77,K0,11,,18,False
78,K0,6,562.2700014935415,5,True
79,K0,10,,15,False
80,K0,10,,16,False
81,K0,10,,16,False
82,K0,11,,20,False
83,K0,9,,12,False
84,K0,6,559.8425049496058,5,True
85,K0,11,,19,False
86,K0,12,,21,False
87,K0,9,,14,False
88,K0,6,548.6216539345643,5,True
89,K0,7,734.6998392733037,7,True
90,K0,7,,8,False
91,K0,12,,21,False
92,K0,13,,24,False
93,K0,11,,20,False
94,K0,11,,18,False
95,K0,8,,11,False
96,K0,13,,24,False
97,K0,8,,10,False
98,K0,7,641.8893876838431,6,True
99,K0,10,,17,False
100,K0,13,,24,False
101,K0,13,,24,False
102,K0,9,,14,False
103,K0,9,,13,False
104,K0,9,,13,False
105,K0,9,,13,False
106,K0,7,,8,False
107,K0,8,,10,False
108,K0,7,738.16308589141,7,True
109,K0,6,527.1244011136138,5,True
110,K0,13,,25,False
111,K0,8,,11,False
112,K0,7,619.9823127738423,6,True
113,K0,13,,25,False
114,K0,9,,14,False
115,K0,10,,17,False
116,K0,6,512.4795001348224,5,True
117,K0,13,,25,False
118,K0,7,710.9891543372311,7,True
119,K0,7,616.605801780215,6,True
120,K0,12,,21,False
121,K0,11,,20,False
122,K0,7,689.9088696782601,6,True
123,K0,7,677.4498094201724,6,True
124,K0,11,,20,False
125,K0,10,,17,False
126,K0,13,,23,False
127,K0,11,,19,False
128,K0,10,,16,False
129,K0,12,,22,False
130,K0,10,,16,False
131,K0,11,,18,False
132,K0,12,,21,False
133,K0,11,,18,False
134,K0,9,,12,False
135,K0,8,,11,False
136,K0,8,,10,False
137,K0,12,,21,False
138,K0,7,770.4490816305718,7,True
139,K0,7,749.1104569646803,7,True
140,K0,12,,22,False
141,K0,13,,25,False
142,K0,13,,25,False
143,K0,11,,20,False
144,K0,7,754.9697997418275,7,True
145,K0,7,743.6115250030842,7,True
146,K0,8,,10,False
147,K0,8,,11,False
148,K0,9,,12,False
149,K0,10,,17,False
150,K0,10,,17,False
151,K0,11,,20,False
152,K0,7,637.1405627521855,6,True
153,K0,11,,19,False
154,K0,8,,9,False
155,K0,7,,8,False
156,K0,7,640.3476505866581,6,True
157,K0,12,,23,False
158,K0,8,,11,False
159,K0,11,,19,False
160,K0,11,,19,False
161,K0,9,,12,False
162,K0,13,,24,False
163,K0,8,,11,False
164,K0,13,,24,False
165,K0,12,,23,False
166,K0,12,,22,False
167,K0,8,,11,False
168,K0,7,747.8514753333053,7,True
169,K0,12,,22,False
170,K0,9,,14,False
171,K0,9,,12,False
