K,method,avg_throughput
K0,Yens,78.28282572819896
K1,Yens,84.14890546298624
K2,Yens,89.44952771929081
K3,Yens,94.1021173497016
K4,Yens,98.22181622736997
K0,DP,111.0620482884401
K1,DP,111.26260080152073
K2,DP,111.44199041364998
K3,DP,111.58280254583038
K4,DP,111.68664932986668
K0,PROPOSED,110.91707441710871
K1,PROPOSED,111.03840772674315
K2,PROPOSED,111.12306701032897
K3,PROPOSED,111.14980757849462
K4,PROPOSED,111.1761665965486
K0,TPB,82.2563648203364
K1,TPB,88.35638653307367
K2,TPB,93.75585543577141
K3,TPB,98.74001984713023
K4,TPB,103.19362366322483
K0,LBB,72.66059034588176
K1,LBB,78.54517090405294
K2,LBB,83.765334090598
K3,LBB,88.6566019504279
K4,LBB,92.89916110014198
K0,SDB,108.5158064079229
K1,SDB,108.4673041178274
K2,SDB,108.53216586017683
K3,SDB,108.49082680270112
K4,SDB,108.51750561340447
K0,MSLB,81.4787609217602
K1,MSLB,86.72455658541409
K2,MSLB,91.45263793478016
K3,MSLB,95.45265698810084
K4,MSLB,99.09936463137318
