K,method,time_sec
K0,Yens,6.836034059524536
K1,Yens,6.831561326980591
K2,Yens,8.109436511993408
K3,Yens,8.026471614837646
K4,Yens,8.650742769241333
K5,Yens,7.8803136348724365
K0,DP,15.454526662826538
K1,DP,15.135257005691528
K2,DP,14.907256841659546
K3,DP,27.02960228919983
K4,DP,21.439581632614136
K5,DP,24.09249782562256
K0,PROPOSED,7.504384994506836
K1,PROPOSED,6.898291826248169
K2,PROPOSED,6.374939441680908
K3,PROPOSED,5.700223207473755
K4,PROPOSED,5.921546697616577
K5,PROPOSED,5.135105133056641
K0,TPB,0.1350853443145752
K1,TPB,0.08814311027526855
K2,TPB,0.08898496627807617
K3,TPB,0.10194540023803711
K4,TPB,0.15636849403381348
K5,TPB,0.11319518089294434
