K,method,avg_variance
K0,Yens,324.05942574240225
K1,Yens,323.28259039803885
K2,Yens,322.6300395120306
K3,Yens,322.33908520504207
K4,Yens,322.641586392511
K0,DP,251.67194800036353
K1,DP,283.86568631973745
K2,DP,310.8443514190799
K3,DP,336.897127210413
K4,DP,361.252484565335
K0,PROPOSED,244.95096544232658
K1,PROPOSED,268.75527878306247
K2,PROPOSED,287.6348014519362
K3,PROPOSED,302.131326077403
K4,PROPOSED,315.14060938503434
K0,TPB,3316.485873418229
K1,TPB,3316.485873418229
K2,TPB,3316.485873418229
K3,TPB,3316.485873418229
K4,TPB,3316.485873418229
K0,LBB,219.19200008391167
K1,LBB,221.3423269614784
K2,LBB,224.57219195894427
K3,LBB,230.5927527897494
K4,LBB,235.38275155656626
K0,SDB,825.1139528642384
K1,SDB,820.3297954345112
K2,SDB,821.1820405864138
K3,SDB,825.1152539438064
K4,SDB,823.9673614768844
